id,title,coverImage,site,visual,music,story,character,description,releaseYear,genres,themes,demographics,status,duration,episodes,season,studios,source,rank,popularity,members
55315,"Gensou Mangekyou: The Memories of Phantasm",https://cdn.myanimelist.net/images/anime/1729/135900l.jpg,7.58,8.38,6.67,6.83,8.19,"Marisa, an ordinary magician, suspects a youkai is behind the winterly weather in the middle of spring. She goes off to investigate and soon arrives in the netherworld, facing the youkai behind the strange incident. Will her friend, the shrine maiden Reimu, arrive in time to save the day or will all be lost?  (Source: AniDB)",2025,"Fantasy","","","Currently Airing","16 min",0,"Unknown","Manpuku Jinja","Game",1730,7063,9998
49944,"Shishunki no Obenkyou",https://cdn.myanimelist.net/images/anime/1195/149968l.jpg,7.57,8.07,8.12,6.91,8.21,"No description available.",2025,"Hentai","","","Currently Airing","16 min",0,"Unknown","Studio 1st","Manga",0,6943,10428
41409,"Wushen Zhuzai",https://cdn.myanimelist.net/images/anime/1738/107609l.jpg,7.56,8.20,7.76,7.96,7.51,"The protagonist Qin Chen, who was originally the top genius in the military domain, was conspired by the people to fall into the death canyon in the forbidden land of the mainland. Qin Chen, who was inevitably dead, unexpectedly triggered the power of the mysterious ancient sword.  Three hundred years later, in a remote part of the Tianwu mainland, a boy of the same name accidentally inherited Qin Chen’s will. As the beloved grandson of King Dingwu of the Daqi National Army, due to the birth father’s birth, the mother and son were treated coldly in Dingwu’s palace and lived together. In order to rewrite the myth of the strong man in hope of the sun, and to protect everything he loves, Qin Chen resolutely took up the responsibility of maintaining the five kingdoms of the world and set foot on the road of martial arts again.",2025,"Action, Drama, Fantasy","Historical, Martial Arts","","Currently Airing","8 min per ep",720,"Unknown","Ruo Hong Culture","Web novel",1815,8317,6627
59407,"Iribitari Gal ni Ma〇ko Tsukawasete Morau Hanashi",https://cdn.myanimelist.net/images/anime/1049/150095l.jpg,7.52,7.37,8.06,6.98,7.19,"No description available.",2025,"Hentai","","","Currently Airing","16 min",0,"Unknown","Seven","Manga",0,8897,5628
56717,"Xian Wu Chuan 2nd Season",https://cdn.myanimelist.net/images/anime/1269/150045l.jpg,7.49,8.48,7.78,7.33,7.19,"Ye Chen, the outcast disciple, is banished from the sect and becomes homeless. Through a series of coincidences, he receives a True Flame and once again steps on the path of cultivation. This is a world where demons and deities co-exist and an era where all realms in the world are overrun by chaos. Ye Chen's journey to defying heaven begins, and after going through all kinds of trials and tribulations, he finally reaches the pinnacle of cultivation.  (Source: Youku)",2025,"Action, Adventure, Fantasy","Historical, Martial Arts","","Currently Airing","20 min per ep",156,"Unknown","Xiaoming Taiji","Web novel",2070,12125,2162
59267,"Sanda",https://cdn.myanimelist.net/images/anime/1364/151767l.jpg,7.47,7.35,6.62,7.08,8.17,"The story is set in a near-future Japan, facing an era of extremely low birth rates. Children are treated as national treasures and are cared for and protected by adults in boarding schools. Santa Claus, who gives children hope and dreams, is considered a dangerous person and is targeted for elimination. On a snowy December 25th, middle school student Sanda Kazushige's life is threatened by his classmate Shiori Fuyumura. Having learned that Sanda is a descendant of Santa Claus, she is hoping that he will grant her a wish. ""Santa, please find my friend."" Fuyumura's wish is to find her missing best friend, Ichie Ono. To protect the children, Sanda decides to become Santa Claus and fight against adults!  (Source: Official YouTube, translated)",2025,"Action, Mystery","School","Shounen","Currently Airing","24 min per ep",12,"fall","Science SARU","Manga",2172,2952,67734
48824,"Blue Archive PVs",https://cdn.myanimelist.net/images/anime/1521/114598l.jpg,7.46,7.30,6.68,7.97,7.54,"Animated promotions for the mobile game Blue Archive.",2025,"Fantasy","","","Currently Airing","1 min",0,"Unknown","Yostar Pictures","Game",0,7859,7624
61232,"Fuuki Iin to Fuuzoku Katsudou",https://cdn.myanimelist.net/images/anime/1369/150016l.jpg,7.46,7.46,6.85,6.67,6.72,"No description available.",2025,"Hentai","Harem, School","","Currently Airing","16 min",0,"Unknown","T-Rex","Manga",0,11189,2825
60534,"Koupen-chan",https://cdn.myanimelist.net/images/anime/1533/146981l.jpg,7.45,7.01,7.68,6.66,7.31,"A baby emperor penguin, Koupen-chan, always makes sure everyone feels included. As it meets its newest friend, Koupen-chan wishes to spend as much time as possible with them and brighten up their day.  [Written by MAL Rewrite]",2025,"Slice of Life","Anthropomorphic, Iyashikei","","Currently Airing","1 min",0,"spring","Lesprit","Original",2225,8951,5547
54437,"Lian Qi Shi Wan Nian",https://cdn.myanimelist.net/images/anime/1567/133308l.jpg,7.43,7.23,7.06,7.35,8.29,"One hundred thousand years ago, he was the founding disciple of the Tianlan Sect, his master ascended to the top, and he was refining Qi. Ninety thousand years ago, his martial nephew ascended, and he was refining Qi. Fifty thousand years ago, the old dog who was the gatekeeper of Tianlanzong also ascended, and he was still refining Qi. Thirty thousand years ago, the old tree at the foot of the mountain also became a demon, and he was still refining Qi before he could pass the catastrophe. Ten thousand years ago, Zhang Wuji, the 9872nd generation disciple of Tianlanzong, also ascended, and Xu Yang silently refined Qi. He retreated for 10,000 years, and finally, he broke through the 9999th floor of the Qi refining period! Ten thousand years later, he broke through and came out!  (Source: Baidu)",2025,"Action, Adventure, Fantasy","Historical, Martial Arts","","Currently Airing","12 min per ep",360,"Unknown","Suoyi Technology","Web novel",2324,10468,3454
50855,"Yamato yo, Towa ni: Rebel 3199",https://cdn.myanimelist.net/images/anime/1856/143246l.jpg,7.43,7.20,6.48,7.51,6.98,"Sequel to Uchuu Senkan Yamato 2205: Aratanaru Tabidachi.",2025,"Action, Drama, Sci-Fi","Adult Cast, Military, Space","","Currently Airing","Unknown",0,"Unknown","studio MOTHER","Original",2304,9315,4954
53876,"Pokemon (2023)",https://cdn.myanimelist.net/images/anime/1703/137216l.jpg,7.42,7.36,7.55,7.49,6.96,"In a world filled with strange yet majestic creatures known as Pokémon, a new adventure begins! Hailing from the pristine region of Paldea, the timid Liko travels to the Kanto region to attend the Indigo Academy and become a Pokémon trainer—a person who forms relationships with Pokémon and trains them to participate in battles. Soon, Liko acquires Nyahoja, a fickle Grass-type cat Pokémon, as her first partner.  Prior to Liko's transfer to Kanto, her grandmother gives her a uniquely patterned and gleaming pendant as a protective charm. However, an enigmatic organization—The Explorers—seems to know a secret about the pendant and nearly succeeds in stealing it from Liko. Fortunately, she is rescued by the Rising Volt Tacklers, a group of adventurers led by a Lizardon-riding trainer named Friede.  After a series of encounters with The Explorers, Liko decides to join Friede's team, accompanying him and his crew members on a grand journey across the regions. Along the way, they aim to unravel not only the mysteries of the world of Pokémon, but also the power that resides within her pendant.  [Written by MAL Rewrite]",2023,"Action, Adventure, Comedy, Fantasy","","Kids","Currently Airing","24 min",0,"spring","OLM","Game",2346,3948,39824
60494,"Immoral Routine The Animation",https://cdn.myanimelist.net/images/anime/1413/150093l.jpg,7.41,7.38,7.44,6.53,8.06,"Shouta accidentally caught his classmate Nao masturbating in the classroom and, without thinking, suggested, ""Don't you want to do it together?"" Since then, they became a pair that mutually masturbated at school during the early morning hours. Seeking to break the monotony and the routine that had become mechanical, they decided it was time to move to real sex…  (Source: TMDB)",2025,"Hentai","","","Currently Airing","27 min",0,"Unknown","Seven","Manga",0,11365,2683
62328,"Sister Breeder",https://cdn.myanimelist.net/images/anime/1790/151647l.jpg,7.40,7.56,7.96,8.28,7.11,"No description available.",2025,"Hentai","","","Currently Airing","Unknown",0,"Unknown","T-Rex","Manga",0,12737,1785
6149,"Chibi Maruko-chan (1995)",https://cdn.myanimelist.net/images/anime/1678/153148l.jpg,7.38,7.19,6.54,7.42,6.72,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life.  (Source: ANN)",1995,"Comedy","School","Shoujo","Currently Airing","23 min",0,"winter","Nippon Animation","Manga",2530,7624,8267
36686,"Hifuu Katsudou Kiroku: The Sealed Esoteric History",https://cdn.myanimelist.net/images/anime/9/88676l.jpg,7.38,7.34,7.53,7.45,7.85,"In the Outside World, only a few people know of the hidden realm called Gensokyo. Two of those individuals are Maribel Hearn and Renko Usami—the sole members of the Secret Sealing Club. Together, they dedicate themselves to learning more about Gensokyo, ranging from the Genso-Lunar War thousands of years ago to the history of the Moriya Shrine. Whether it be small talk, in-depth discussions, or tracking people who may have connections to this mystical land, even the sky cannot limit their growing curiosity.  [Written by MAL Rewrite]",2025,"Fantasy","","","Currently Airing","30 min",0,"Unknown","","Game",2540,7236,9390
59644,"Yasei no Last Boss ga Arawareta!",https://cdn.myanimelist.net/images/anime/1830/145051l.jpg,7.38,8.22,6.45,7.72,7.44,"Lufas Maphaahl, the black-winged overlord and leader of the Twelves Stars of Heaven, has been vanquished.  A man wakes up in the body of the Exgate game character Lufas, two hundred years after her defeat at the hands of the seven heroes. The game world of Exgate he knew is no longer ruled by humans—and it is no longer just a game. Exgate is a world of its own where the characters think, feel, and live just like he does. Lufas journeys through Exgate, looking for the long-disbanded Twelve Stars of Heaven.  Lufas is without country, army, or allies. A question remains: what is the real reason an ordinary man was reincarnated into Exgate as Lufas?  [Written by MAL Rewrite]",2025,"Action, Adventure, Fantasy","Isekai","","Currently Airing","23 min",0,"fall","WAO World","Light novel",2562,3236,56730
